,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00AKGY,E05000204,Lower Edmonton,Enfield,"6,188",73,1.2,0
00AKGZ,E05000205,Palmers Green,Enfield,"7,385",109,1.5,0.3
00AKHA,E05000206,Ponders End,Enfield,"6,050",84,1.4,-0.1
00AKHB,E05000207,Southbury,Enfield,"6,305",128,2,0.2
00AKHC,E05000208,Southgate,Enfield,"7,084",59,0.8,0.5
00AKHD,E05000209,Southgate Green,Enfield,"6,735",103,1.5,0.6
00AKHE,E05000210,Town,Enfield,"7,571",123,1.6,0.1
00AKHF,E05000211,Turkey Street,Enfield,"5,622",92,1.6,0.1
00AKHG,E05000212,Upper Edmonton,Enfield,"6,722",89,1.3,0.2
00AKHH,E05000213,Winchmore Hill,Enfield,"6,939",99,1.4,0.4
00ALGP,E05000214,Abbey Wood,Greenwich,"6,444",64,1,-0.1
00ALGQ,E05000215,Blackheath Westcombe,Greenwich,"6,925",335,4.8,2.6
00ALGR,E05000216,Charlton,Greenwich,"6,698",207,3.1,1
00ALGS,E05000217,Coldharbour and New Eltham,Greenwich,"6,141",71,1.2,0.2
00ALGT,E05000218,Eltham North,Greenwich,"6,272",138,2.2,0.9
00ALGU,E05000219,Eltham South,Greenwich,"5,701",89,1.6,0.7
00ALGW,E05000220,Eltham West,Greenwich,"4,454",68,1.5,0.3
00ALGX,E05000221,Glyndon,Greenwich,"8,069",104,1.3,0.5
00ALGY,E05000222,Greenwich West,Greenwich,"8,633",361,4.2,2.1
00ALGZ,E05000223,Kidbrooke with Hornfair,Greenwich,"6,675",184,2.8,1.4
00ALHA,E05000224,Middle Park and Sutcliffe,Greenwich,"5,819",162,2.8,0.8
00ALHB,E05000225,Peninsula,Greenwich,"7,915",338,4.3,1.9
00ALHC,E05000226,Plumstead,Greenwich,"7,362",67,0.9,-0.1
00ALHD,E05000227,Shooters Hill,Greenwich,"6,396",142,2.2,1
00ALHE,E05000228,Thamesmead Moorings,Greenwich,"8,345",87,1,-0.1
00ALHF,E05000229,Woolwich Common,Greenwich,"7,198",181,2.5,0.6
00ALHG,E05000230,Woolwich Riverside,Greenwich,"8,774",140,1.6,0.3
00AMGA,E05000231,Brownswood,Hackney,"6,401",694,10.8,5.7
00AMGB,E05000232,Cazenove,Hackney,"5,822",722,12.4,7
00AMGC,E05000233,Chatham,Hackney,"5,996",888,14.8,9.4
00AMGD,E05000234,Clissold,Hackney,"6,765","1,281",18.9,10.4
00AMGE,E05000235,Dalston,Hackney,"8,119","1,487",18.3,10.9
00AMGF,E05000236,De Beauvoir,Hackney,"7,556","1,068",14.1,8.3
00AMGG,E05000237,Hackney Central,Hackney,"6,317","1,068",16.9,10.6
00AMGH,E05000238,Hackney Downs,Hackney,"6,282","1,111",17.7,10
00AMGJ,E05000239,Haggerston,Hackney,"7,410",880,11.9,7.6
00AMGK,E05000240,Hoxton,Hackney,"7,496",782,10.4,5.3
00AMGL,E05000241,King's Park,Hackney,"4,242",569,13.4,8.8
00AMGM,E05000242,Leabridge,Hackney,"6,699","1,064",15.9,8.3
00AMGN,E05000243,Lordship,Hackney,"5,222",710,13.6,6.6
00AMGP,E05000244,New River,Hackney,"4,725",314,6.6,2.3
00AMGQ,E05000245,Queensbridge,Hackney,"6,961","1,329",19.1,11.3
00AMGR,E05000246,Springfield,Hackney,"4,093",284,6.9,3.7
00AMGS,E05000247,Stoke Newington Central,Hackney,"7,107","1,334",18.8,10
00AMGT,E05000248,Victoria,Hackney,"6,334",998,15.8,9.2
00AMGU,E05000249,Wick,Hackney,"5,009",729,14.6,8.9
00ANGA,E05000250,Addison,Hammersmith and Fulham,"6,997",524,7.5,2.4
00ANGB,E05000251,Askew,Hammersmith and Fulham,"7,769",689,8.9,2.6
00ANGC,E05000252,Avonmore and Brook Green,Hammersmith and Fulham,"6,776",424,6.3,2
00ANGD,E05000253,College Park and Old Oak,Hammersmith and Fulham,"4,144",194,4.7,1.2
00ANGE,E05000254,Fulham Broadway,Hammersmith and Fulham,"6,174",483,7.8,3.4
00ANGF,E05000255,Fulham Reach,Hammersmith and Fulham,"6,454",515,8,3.4
00ANGG,E05000256,Hammersmith Broadway,Hammersmith and Fulham,"6,287",461,7.3,2.5
00ANGH,E05000257,Munster,Hammersmith and Fulham,"6,582",574,8.7,3.8
00ANGJ,E05000258,North End,Hammersmith and Fulham,"6,901",429,6.2,2.2
00ANGK,E05000259,Palace Riverside,Hammersmith and Fulham,"3,872",380,9.8,4.6
00ANGL,E05000260,Parsons Green and Walham,Hammersmith and Fulham,"5,907",384,6.5,2.2
00ANGM,E05000261,Ravenscourt Park,Hammersmith and Fulham,"5,721",478,8.4,3.5
00ANGN,E05000262,Sands End,Hammersmith and Fulham,"6,682",512,7.7,2.2
00ANGP,E05000263,Shepherd's Bush Green,Hammersmith and Fulham,"6,900",544,7.9,2.9
00ANGQ,E05000264,Town,Hammersmith and Fulham,"6,643",461,6.9,3
00ANGR,E05000265,Wormholt and White City,Hammersmith and Fulham,"5,809",368,6.3,1.2
00APGA,E05000266,Alexandra,Haringey,"6,393",293,4.6,2.6
00APGB,E05000267,Bounds Green,Haringey,"6,940",182,2.6,1.2
