Area,mnemonic,Gender,Health Status,Age 0 to 15,Age 16 to 24,Age 25 to 34,Age 35 to 49,Age 50 to 64,Age 65 to 74,Age 75 to 84,Age 85 and over
msoa2011:Tower Hamlets 016,E02000879,Female,Day-to-day activities limited a little,12,18,33,71,83,40,41,14
msoa2011:Tower Hamlets 017,E02000880,Female,Day-to-day activities limited a little,10,14,21,62,65,39,27,9
msoa2011:Tower Hamlets 018,E02000881,Female,Day-to-day activities limited a little,12,19,28,90,74,26,28,8
msoa2011:Tower Hamlets 019,E02000882,Female,Day-to-day activities limited a little,18,16,54,104,88,48,27,16
msoa2011:Tower Hamlets 020,E02000883,Female,Day-to-day activities limited a little,17,24,44,92,91,52,45,10
msoa2011:Tower Hamlets 021,E02000884,Female,Day-to-day activities limited a little,8,26,34,67,81,37,17,2
msoa2011:Tower Hamlets 022,E02000885,Female,Day-to-day activities limited a little,19,21,34,72,80,43,26,13
msoa2011:Tower Hamlets 023,E02000886,Female,Day-to-day activities limited a little,11,17,32,52,52,26,27,5
msoa2011:Tower Hamlets 024,E02000887,Female,Day-to-day activities limited a little,18,13,51,86,85,36,34,9
msoa2011:Tower Hamlets 025,E02000888,Female,Day-to-day activities limited a little,16,14,38,72,45,22,21,3
msoa2011:Tower Hamlets 026,E02000889,Female,Day-to-day activities limited a little,8,12,32,47,61,19,19,6
msoa2011:Tower Hamlets 027,E02000890,Female,Day-to-day activities limited a little,2,2,14,44,40,17,19,4
msoa2011:Tower Hamlets 028,E02000891,Female,Day-to-day activities limited a little,14,28,68,71,80,28,16,9
msoa2011:Tower Hamlets 030,E02000893,Female,Day-to-day activities limited a little,14,11,29,52,72,38,20,8
msoa2011:Tower Hamlets 031,E02000894,Female,Day-to-day activities limited a little,5,10,40,47,66,39,13,3
msoa2011:Tower Hamlets 032,E02006853,Female,Day-to-day activities limited a little,17,11,30,55,38,28,14,3
msoa2011:Tower Hamlets 033,E02006854,Female,Day-to-day activities limited a little,5,10,20,38,24,12,6,0
ualad09:Tower Hamlets,E09000030,Female,Day-to-day activities not limited,23834,19722,33299,17531,6458,1754,817,161
msoa2011:Tower Hamlets 001,E02000864,Female,Day-to-day activities not limited,846,584,970,614,307,90,44,7
msoa2011:Tower Hamlets 002,E02000865,Female,Day-to-day activities not limited,703,550,930,503,185,52,21,7
msoa2011:Tower Hamlets 003,E02000866,Female,Day-to-day activities not limited,785,783,1280,753,402,119,57,3
msoa2011:Tower Hamlets 004,E02000867,Female,Day-to-day activities not limited,761,873,1582,655,256,64,31,8
msoa2011:Tower Hamlets 005,E02000868,Female,Day-to-day activities not limited,497,523,1023,446,157,34,21,11
msoa2011:Tower Hamlets 006,E02000869,Female,Day-to-day activities not limited,441,397,736,441,165,57,23,10
msoa2011:Tower Hamlets 007,E02000870,Female,Day-to-day activities not limited,583,508,829,490,198,52,37,2
msoa2011:Tower Hamlets 008,E02000871,Female,Day-to-day activities not limited,1087,652,935,574,198,63,37,4
msoa2011:Tower Hamlets 009,E02000872,Female,Day-to-day activities not limited,642,610,1156,430,146,51,17,8
msoa2011:Tower Hamlets 010,E02000873,Female,Day-to-day activities not limited,746,834,885,480,150,49,19,6
msoa2011:Tower Hamlets 011,E02000874,Female,Day-to-day activities not limited,776,624,796,416,135,34,26,5
msoa2011:Tower Hamlets 012,E02000875,Female,Day-to-day activities not limited,1132,808,1057,624,230,63,24,4
msoa2011:Tower Hamlets 013,E02000876,Female,Day-to-day activities not limited,551,657,918,409,143,30,11,3
msoa2011:Tower Hamlets 014,E02000877,Female,Day-to-day activities not limited,1190,886,1086,613,210,60,33,3
msoa2011:Tower Hamlets 015,E02000878,Female,Day-to-day activities not limited,669,840,1324,566,209,50,18,0
msoa2011:Tower Hamlets 016,E02000879,Female,Day-to-day activities not limited,716,701,789,467,197,73,44,9
msoa2011:Tower Hamlets 017,E02000880,Female,Day-to-day activities not limited,534,488,668,351,115,39,21,3
msoa2011:Tower Hamlets 018,E02000881,Female,Day-to-day activities not limited,955,468,670,506,223,45,20,6
msoa2011:Tower Hamlets 019,E02000882,Female,Day-to-day activities not limited,1092,657,866,628,181,45,30,7
msoa2011:Tower Hamlets 020,E02000883,Female,Day-to-day activities not limited,1018,577,773,540,201,56,45,4
msoa2011:Tower Hamlets 021,E02000884,Female,Day-to-day activities not limited,617,844,1383,457,139,37,7,2
msoa2011:Tower Hamlets 022,E02000885,Female,Day-to-day activities not limited,776,545,713,434,154,52,23,6
msoa2011:Tower Hamlets 023,E02000886,Female,Day-to-day activities not limited,635,407,1001,622,207,43,23,9
msoa2011:Tower Hamlets 024,E02000887,Female,Day-to-day activities not limited,1024,667,997,582,211,68,36,5
msoa2011:Tower Hamlets 025,E02000888,Female,Day-to-day activities not limited,861,568,1136,589,171,59,22,3
msoa2011:Tower Hamlets 026,E02000889,Female,Day-to-day activities not limited,550,378,918,486,228,42,17,5
msoa2011:Tower Hamlets 027,E02000890,Female,Day-to-day activities not limited,282,247,862,581,287,73,41,3
msoa2011:Tower Hamlets 028,E02000891,Female,Day-to-day activities not limited,1033,933,2222,881,236,64,14,3
msoa2011:Tower Hamlets 030,E02000893,Female,Day-to-day activities not limited,622,468,868,562,234,70,33,5
msoa2011:Tower Hamlets 031,E02000894,Female,Day-to-day activities not limited,718,720,1758,836,309,61,9,4
msoa2011:Tower Hamlets 032,E02006853,Female,Day-to-day activities not limited,601,543,1150,509,148,37,12,6
msoa2011:Tower Hamlets 033,E02006854,Female,Day-to-day activities not limited,391,382,1018,486,126,22,1,0
