AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2001,6216,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,538200,181030,A1206,A102,0.2,0.12,549,4770,36501,611,1631,4454,3608,186,263,78,23,8612,52125
2001,6636,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A107,PA,535030,182500,Mile End Rd,Bethnal Green Rd,0.9,0.56,640,627,16038,782,2984,450,40,48,21,7,7,573,21004
2001,7540,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1205,PA,536630,182000,A13/A1261,A11,1.6,0.99,363,522,14549,642,461,1332,1398,58,29,7,0,2824,18998
2001,8284,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PA,534160,180760,A1203,Cable Street,0.2,0.12,129,402,7077,129,1577,438,40,22,8,13,9,530,9715
2001,8489,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,536100,181139,A126,A101,0.2,0.12,475,1473,24752,430,828,2744,1967,139,83,64,1,4998,32481
2001,8754,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PA,538520,178900,Ferry Street,A1261,2.7,1.68,365,487,5537,411,389,814,584,33,23,42,0,1496,8320
2001,16188,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A11,PA,534280,181620,A1202/A13 mid-junction,A107,1.1,0.68,82,54,17091,0,3390,509,1252,494,127,562,0,2944,23479
2001,16203,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,536500,181120,A101,A1261,0.8,0.5,283,1606,30843,760,4386,1077,100,73,39,69,69,1427,39022
2001,17496,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PA,533980,181190,B126 Prescot St,A13/A11 mid-junction,0.4,0.25,272,1058,13922,124,3387,908,53,27,40,18,11,1057,19548
2001,17498,Counted,Manual count,London,Tower Hamlets,A1208,PA,534000,183100,A10/A5201,A107,1.7,1.06,515,1002,18082,551,3433,694,85,84,7,11,6,887,23955
2001,18436,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1210,PA,533800,181070,LA Boundary,A11,0.4,0.25,706,2042,16282,359,786,2384,2132,47,39,15,0,4617,24086
2001,18467,Counted,Manual count,London,Tower Hamlets,A3211,PA,533634,180720,A100,LA Boundary,0.3,0.19,320,3581,47862,1084,7797,1528,172,487,89,110,75,2461,62785
2001,18497,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A107,PA,534850,183388,A1208 Hackney Road,LA Boundary,0.2,0.12,481,413,17100,1339,2770,898,76,97,96,20,25,1212,22834
2001,18736,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PA,538195,180834,A1261,A13,0.5,0.31,106,1898,18917,334,3850,620,217,297,49,114,129,1426,26425
2001,19035,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1261,PA,537150,180780,A1206,A1203,0.5,0.31,215,909,17966,798,4213,639,94,50,10,11,22,826,24712
2001,26217,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,538970,181320,A1263,Aspen Way tunnel,0.2,0.12,405,4501,60637,762,12677,1446,626,754,365,237,423,3851,82428
2001,27581,Counted,Manual count,London,Tower Hamlets,A1202,PA,534000,180830,A100/A1210/A1211,Dock Street,0.4,0.25,340,212,1584,15,450,248,18,5,3,3,1,278,2539
2001,27582,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1205,PA,536020,183200,A11,LA Boundary,1.4,0.87,881,372,11272,276,2449,278,30,4,11,7,3,333,14702
2001,27917,Counted,Manual count,London,Tower Hamlets,A12,PA,537550,183276,A11,B142,0.5,0.31,30,1667,84730,464,14604,2709,281,707,177,442,282,4598,106063
2001,28521,Counted,Manual count,London,Tower Hamlets,A100,PA,533740,180500,LA Boundary,A1210/A1211,0.5,0.31,1402,2672,28042,611,4293,1921,37,56,9,9,4,2036,37654
2001,28878,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PA,537240,178900,A1203,Ferry Street,2.8,1.74,106,142,8531,311,894,146,10,7,8,14,9,194,10072
2001,29037,Counted,Manual count,London,Tower Hamlets,A1203,PA,534836,180756,A1202,A101/A126,1.9,1.18,266,3044,40446,642,7731,2414,227,307,328,227,114,3617,55480
2001,36218,Counted,Manual count,London,Tower Hamlets,A13,PA,537000,181040,A1261,A1206,1.3,0.81,233,749,20771,692,3427,920,62,50,88,168,163,1451,27090
2001,37619,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1209,PA,534000,182520,LA Boundary,A107,1.5,0.93,927,827,12580,262,2487,649,45,28,25,1,16,764,16920
2001,38270,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1210,PA,533840,180880,A100,LA Boundary,0.2,0.12,354,1130,12685,823,2686,677,49,25,12,19,41,823,18147
2001,39035,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1203,PA,536066,180909,A126/A101,A1206,1.3,0.81,13,5782,58358,931,6634,1583,289,648,59,157,218,2954,74659
2001,46218,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,535100,181280,A11/A1202 mid-junction,A126,2.1,1.3,216,1019,25559,669,4647,900,155,121,74,121,51,1422,33316
2001,47580,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PA,534110,180940,Dock Street,Hooper Street,0.2,0.12,121,679,6750,30,1642,193,25,24,4,2,2,250,9351
2001,48161,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PA,533640,182000,A11/A13 mid-junction,LA Boundary,0.9,0.56,978,2772,21016,164,5219,1319,146,122,46,63,29,1725,30896
2001,48814,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1261,PA,538620,180750,A1206,Aspen Way Tunnel,0.5,0.31,127,2304,57489,763,11877,1745,427,642,126,285,283,3508,75941
2001,48815,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1261,PA,537030,180900,A13,A1206,0.3,0.19,510,756,18792,1040,4085,392,146,97,20,21,46,722,25395
2001,49035,Counted,Manual count,London,Tower Hamlets,A1261,PA,537950,180570,A1261,A1206,0.9,0.56,53,2793,58911,629,11147,1402,222,625,254,202,196,2901,76381
2001,56175,Counted,Manual count,London,Tower Hamlets,A11,PA,535000,181900,A107,A1205,1.6,0.99,589,1387,24745,393,4854,939,97,238,36,42,51,1403,32782
2001,56506,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A107,PA,534950,183000,A1209,A1208,0.6,0.37,371,518,16005,652,3380,709,36,18,10,23,15,811,21366
2001,56909,Counted,Manual count,London,Tower Hamlets,A1203,PA,534000,180600,LA Boundary,A1202,0.5,0.31,313,3901,42679,511,7670,1402,158,295,71,103,82,2111,56872
2001,58445,Counted,Manual count,London,Tower Hamlets,A1020,PA,539100,180920,A1261,LA Boundary,0.4,0.25,63,497,26675,324,4424,1028,108,136,74,209,158,1713,33633
2001,58446,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,PA,538450,181080,A102,A1263,0.6,0.37,246,1337,31147,367,7580,2096,251,516,95,205,341,3504,43935
2001,59036,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1203,PA,535968,181035,A126/A101,A13/A126,0.3,0.19,159,622,14383,330,2824,444,210,70,37,26,31,818,18977
2001,70002,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PA,537060,180760,A1203,A1261,0.2,0.12,183,864,15076,344,3466,519,42,65,18,24,32,700,20450
2001,70003,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1203,PA,537100,180730,A1206,A1261,0.6,0.37,89,4211,35383,566,8989,2128,621,338,224,161,185,3657,52806
2001,70193,Counted,Manual count,London,Tower Hamlets,A11,PA,533820,181310,LA Boundary,A1202/A13 mid-junc,0.2,0.12,491,1935,26459,653,4216,1678,188,151,38,56,30,2141,35404
2001,73554,Counted,Dependent on a neighbouring counted link,London,Tower Hamlets,A102,PA,538410,180850,LA Boundary,A13,1,0.62,8,4157,57499,503,14854,3662,367,929,241,638,327,6164,83177
2001,73821,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A115,PA,537270,184510,LA Boundary,LA Boundary,0.8,0.5,117,232,8781,234,2090,458,88,122,22,53,28,771,12108
